title,uri,raw_ec_thumbnails,raw_ec_shortdesc,raw_lcbo_tastingnotes,raw_lcbo_region_name,raw_country_of_manufacture,raw_lcbo_program,raw_created_at,raw_is_buyable,raw_ec_price,raw_ec_promo_price,raw_ec_final_price,raw_lcbo_unit_volume,raw_lcbo_alcohol_percent,raw_lcbo_sugar_gm_per_ltr,raw_lcbo_bottles_per_pack,raw_sysconcepts,raw_ec_category,raw_ec_category_filter,raw_lcbo_varietal_name,raw_stores_stock,raw_stores_stock_combined,raw_stores_low_stock_combined,raw_stores_low_stock,raw_out_of_stock,stores_inventory,raw_online_inventory,raw_avg_reviews,raw_ec_rating,weighted_rating,raw_view_rank_yearly,raw_view_rank_monthly,raw_sell_rank_yearly,raw_sell_rank_monthly
Kourtakis Apelia Agiorgitiko (St George) Red Peloponnese IGP,https://www.lcbo.com/en/kourtakis-apelia-agiorgitiko-st-george-red-peloponnese-igp-554527,https://aem.lcbo.com/content/dam/lcbo/products/5/5/4/5/554527.jpg.thumb.319.319.png,"Apelia Agiorgitiko is a tried-and-true classic from Kourtakis, one of Greece's largest wine producers. It reveals aromas and flavours of dried fig with smoke, spice and herbal notes. It is light to medium-bodied with soft acidity and tannins. Enjoy this easy sipping red with chicken, braised meats and moussaka.","Apelia Agiorgitiko is a tried-and-true classic from Kourtakis, one of Greece's largest wine producers. It reveals aromas and flavours of dried fig with smoke, spice and herbal notes. It is light to medium-bodied with soft acidity and tannins. Enjoy this easy sipping red with chicken, braised meats and moussaka.",Peloponnese,Greece,N/A,1642640739000,true,18.45,N/A,18.45,1500,13.0,3.0,1,braised meats ; sipping red ; soft acidity ; herbal notes ; wine producers ; tried-and-true classic ; Apelia Agiorgitiko ; flavours of dried,"['Deals', 'Collections', 'Deals|Aeroplan', 'Collections|Shop Low-Sugar Wines', 'Collections|Shop Red Wines by Price', 'Collections|Shop Red Wines by Price|$15 to $20', 'Collections|Shop Low-Sugar Wines|Low-Sugar Red Wines', 'Collections|Celebrate with Large-Format Magnum Wines', 'Deals|Aeroplan|Greek Wines: Free Shipping + Earn Aeroplan Bonus Points', 'Collections|Celebrate with Large-Format Magnum Wines|Magnum Red Wines - 1500ml', 'Products', 'Products|Wine', 'Products|Wine|Red Wine']",['Products|Wine|Red Wine'],Agiorgitiko,true,true,false,false,false,23,23,3,4.3,4.525720956647946,7245,6331,2783,1864
Kacaba Cabernet VQA,https://www.lcbo.com/en/kacaba-cabernet-vqa-499384,https://aem.lcbo.com/content/dam/lcbo/products/4/9/9/3/499384.jpg.thumb.319.319.png,"An award-winning local winery, this offering from Kacaba is a great introduction to quality reds from Ontario. Plush and flavourful with notes of fresh herbs, dark fruit, lees, smoked and cured meats, mingling on light to medium bodied palate that is brightened by a lift of acidity wrapping up with fine/integrated tannins.","An award-winning local winery, this offering from Kacaba is a great introduction to quality reds from Ontario. Plush and flavourful with notes of fresh herbs, dark fruit, lees, smoked and cured meats, mingling on light to medium bodied palate that is brightened by a lift of acidity wrapping up with fine/integrated tannins.",Ontario,Canada,N/A,1642640602000,true,15.95,N/A,15.95,750,13.0,4.0,1,integrated tannins ; bodied palate ; cured meats ; dark fruit ; fresh herbs ; quality reds ; local winery ; lift of acidity,"['Deals', 'Promotions', 'Collections', 'Deals|Aeroplan', 'Collections|VQA', 'Collections|Ontario', 'Collections|Top Picks', 'Collections|Canadian Picks', 'Collections|Ontario|Niagara', 'Collections|VQA Wines on Sale', 'Collections|Top Picks|Red Wine', 'Collections|Local Wines on Sale', 'Collections|Red Wines Under $20', 'Collections|Shop Low-Sugar Wines', 'Collections|VQA|Ontario VQA Wines', 'Collections|Ontario VQA Wines Under $20', 'Deals|Aeroplan|Ontario VQA Wines Bonus Offer', 'Collections|Shop Low-Sugar Wines|Low-Sugar Red Wines', 'Products', 'Products|Wine', 'Products|Wine|Red Wine', 'Promotions|Canadian Made Products Bonus Offer', 'Collections|Shop Over 3000 Ontario- and Canadian-Made Products', 'Collections|Shop Over 3000 Ontario- and Canadian-Made Products|Canadian Wines', 'Collections|Shop Over 3000 Ontario- and Canadian-Made Products|Shop 800+ Ontario VQA Wines']",['Products|Wine|Red Wine'],Named Varietal Blends-Red,true,true,false,false,false,20,20,8,4.6,4.596354024245739,2419,3468,2142,2674
Glenlofty GO Shiraz 2017,https://www.lcbo.com/en/glenlofty-go-shiraz-2015-16235,https://aem.lcbo.com/content/dam/lcbo/products/0/1/6/2/016235.jpg.thumb.319.319.png,"Beautifully fruited and fragrant, showing dark plum, sweet cherry, liquorice, anise and roasted nut aromas on the nose. The palate displays medium-full body and supple texture, well framed by refreshing acidity and fine-grained tannins, finishing silky and lingering. At its best: now to 2027. Score - 91. (Sam Kim, wineorbit.co.nz, March 2024)","Beautifully fruited and fragrant, showing dark plum, sweet cherry, liquorice, anise and roasted nut aromas on the nose. The palate displays medium-full body and supple texture, well framed by refreshing acidity and fine-grained tannins, finishing silky and lingering. At its best: now to 2027. Score - 91. (Sam Kim, wineorbit.co.nz, March 2024)",Victoria,Australia,['Vintages'],1642639877000,true,16.25,N/A,16.25,750,14.5,2.0,1,fine-grained tannins ; supple texture ; medium-full body ; palate displays ; nut aromas ; sweet cherry ; dark plum ; lingering,"['Vintages', 'Collections', 'Vintages|Vintages Case Offer', 'Vintages|New Release Collection', 'Collections|Shop Red Wines by Price', 'Collections|Shop Red Wines by Price|$15 to $20', 'Vintages|New Release Collection|Previous Releases ', 'Products', 'Products|Wine', 'Products|Wine|Red Wine']",['Products|Wine|Red Wine'],Shiraz/Syrah,false,false,true,true,true,0,0,3,4.7,4.618028648955638,3668,7261,4536,N/A
Konzelmann Cabernet Sauvignon Reserve VQA,https://www.lcbo.com/en/konzelmann-cabernet-sauvignon-reserve-vqa-112946,https://aem.lcbo.com/content/dam/lcbo/products/1/1/2/9/112946.jpg.thumb.319.319.png,"Pale ruby; upfront red fruit, herb and vanilla aromas; dry, light to medium-bodied with balanced tannin and acidity; flavours of red fruit, herbs, vanilla and spice carry into the medium long finish.","Pale ruby; upfront red fruit, herb and vanilla aromas; dry, light to medium-bodied with balanced tannin and acidity; flavours of red fruit, herbs, vanilla and spice carry into the medium long finish.",Ontario,Canada,N/A,1642639695000,true,18.95,N/A,18.95,750,13.0,7.0,1,red fruit ; vanilla ; herbs ; long finish ; balanced tannin ; Pale ruby ; spice ; acidity,"['Deals', 'Collections', 'Deals|Aeroplan', 'Collections|VQA', 'Collections|Ontario', 'Collections|Canadian Picks', 'Collections|Ontario|Niagara', 'Collections|Red Wines Under $20', 'Collections|VQA|Ontario VQA Wines', 'Collections|Shop Red Wines by Price', 'Collections|Ontario VQA Wines Under $20', 'Deals|Aeroplan|Ontario VQA Wines Bonus Offer', 'Collections|Shop Red Wines by Price|$15 to $20', 'Deals|Aeroplan|Mix and Match Wines for Aeroplan Bonus Points', 'Products', 'Products|Wine', 'Products|Wine|Red Wine', 'Collections|Shop Over 3000 Ontario- and Canadian-Made Products', 'Collections|Shop Over 3000 Ontario- and Canadian-Made Products|Canadian Wines', 'Collections|Shop Over 3000 Ontario- and Canadian-Made Products|Shop 800+ Ontario VQA Wines']",['Products|Wine|Red Wine'],Cabernet Sauvignon,true,true,false,false,false,22,22,5,4.0,4.395624829094886,4454,1529,3083,1218
Famille Perrin Les Sinards Châteauneuf-du-Pape,https://www.lcbo.com/en/famille-perrin-les-sinards-ch-teauneuf-du-pape-926626,https://aem.lcbo.com/content/dam/lcbo/products/9/2/6/6/926626.jpg.thumb.319.319.png,"Perrin is among the finest producers in the southern Rhône. Some grapes for this rich, age-worthy red come from their legendary Château de Beaucastel estate. Drink over the next decade with roast duck, roast lamb or grilled game meats.","Perrin is among the finest producers in the southern Rhône. Some grapes for this rich, age-worthy red come from their legendary Château de Beaucastel estate. Drink over the next decade with roast duck, roast lamb or grilled game meats.",Rhône,France,['Vintages'],1642641215000,true,43.95,N/A,43.95,750,14.5,5.0,1,roast ; game meats ; Beaucastel estate ; legendary Château ; red come ; southern Rhône ; finest producers ; rich,"['Events', 'Vintages', 'Gift Shop', 'Collections', 'Collections|Bold Wines', 'Events|Vintages Events', 'Gift Shop|Corporate Gifts ', 'Vintages|Summer Store Program', 'Vintages|Get to Know Vintages', 'Vintages|Better-for-you Wines', 'Collections|Shop Low-Sugar Wines', 'Events|Vintages Events|UGCB Event', 'Vintages|Vintages Essentials Collection', 'Vintages|Summer Store Program|Gifts Under $50', 'Vintages|Summer Store Program|Wines under $50', 'Gift Shop|Corporate Gifts |Premium Wine Gifts', 'Collections|Shop French Red Wines — On Sale Now!', 'Collections|Shop Low-Sugar Wines|Low-Sugar Red Wines', 'Products', 'Products|Wine', 'Products|Wine|Red Wine']",['Products|Wine|Red Wine'],Grenache Blend,false,false,true,true,true,0,0,3,5.0,4.687259418186407,75,394,1345,3170
Flat Rock Red Twisted 2023,https://www.lcbo.com/en/flat-rock-red-twisted-2012-86918,https://aem.lcbo.com/content/dam/lcbo/products/0/8/6/9/086918.jpg.thumb.319.319.png,"'We ferment and age the Gamay, Merlot and Pinot Noir used in the Twisted red separately, selecting the final blend after extensive testing and assessment,' explains Flat Rock president Ed Madronich. Fruit-driven, youthful and lively with a velvety mouthfeel, this wine will pair nicely with chicken or duck in a light, tangy currant or pomegranate sauce.","'We ferment and age the Gamay, Merlot and Pinot Noir used in the Twisted red separately, selecting the final blend after extensive testing and assessment,' explains Flat Rock president Ed Madronich. Fruit-driven, youthful and lively with a velvety mouthfeel, this wine will pair nicely with chicken or duck in a light, tangy currant or pomegranate sauce.",Ontario,Canada,['Vintages'],1642641172000,true,17.4,16.35,16.35,750,12.3,4.0,1,pomegranate sauce ; tangy currant ; velvety mouthfeel ; Rock president ; red separately ; Pinot Noir ; wine ; youthful ; Fruit-driven,"['Vintages', 'Promotions', 'Collections', 'Collections|VQA', 'Promotions|Clearance', 'Promotions|Clearance|Wine', 'Vintages|Vintages Case Offer', 'Promotions|Clearance Vintages', 'Vintages|New Release Collection', 'Collections|VQA|Ontario VQA Wines', 'Collections|Clearance Aeroplan Offer', 'Vintages|New Release Collection|Previous Releases ', 'Products', 'Products|Wine', 'Products|Wine|Red Wine', 'Collections|Shop Over 3000 Ontario- and Canadian-Made Products', 'Collections|Shop Over 3000 Ontario- and Canadian-Made Products|Canadian Wines', 'Collections|Shop Over 3000 Ontario- and Canadian-Made Products|Shop 800+ Ontario VQA Wines']",['Products|Wine|Red Wine'],Red Blend,false,false,true,true,true,0,0,2,4.0,4.494531036368608,4938,5221,5197,3233
Il Drago e le 8 Colombe 2019,https://www.lcbo.com/en/il-drago-e-le-8-colombe-2016-19875,https://aem.lcbo.com/content/dam/lcbo/products/0/1/9/8/019875.jpg.thumb.319.319.png,"In the bottle with the red label, the organic Donatella Cinelli Colombini 2019 Il Drago e le 8 Colombe is a blend of 60% Sangiovese, 20% Merlot and 20% Sagrantino. This is a wine of big grit and density, and although the tannins are resolved and slightly dusty in texture, there is enough structure to pair with steaks or pork chops. The bouquet offers black plum and sweet blackberry pie that is contrasted against a savory or slight spicy side. Drink date: 2024-2029. Score - 92. (Monica Larner, robertparker.com, March 21, 2024)","In the bottle with the red label, the organic Donatella Cinelli Colombini 2019 Il Drago e le 8 Colombe is a blend of 60% Sangiovese, 20% Merlot and 20% Sagrantino. This is a wine of big grit and density, and although the tannins are resolved and slightly dusty in texture, there is enough structure to pair with steaks or pork chops. The bouquet offers black plum and sweet blackberry pie that is contrasted against a savory or slight spicy side. Drink date: 2024-2029. Score - 92. (Monica Larner, robertparker.com, March 21, 2024)",Tuscany,Italy,['Vintages'],1642640020000,true,36.95,N/A,36.95,750,14.0,2.0,1,slight spicy ; blackberry pie ; black plum ; bouquet offers ; pork chops ; big grit ; Donatella Cinelli Colombini ; red label ; Sagrantino ; Sangiovese,"['Events', 'Vintages', 'Collections', 'Events|Vintages Events', 'Collections|Lunar New Year', 'Vintages|Vintages Case Offer', 'Vintages|New Release Collection', 'Collections|Shop Low-Sugar Wines', 'Events|Vintages Events|UGCB Event', 'Collections|Lunar New Year|Lunar New Year Wines', 'Vintages|New Release Collection|January 18 2025', 'Collections|Shop Low-Sugar Wines|Low-Sugar Red Wines', 'Collections|Lunar New Year|Lunar New Year Wines|Red Wines', 'Products', 'Products|Wine', 'Products|Wine|Red Wine']",['Products|Wine|Red Wine'],Sangiovese Blend,false,false,true,true,true,0,0,1,5.0,4.630397494220299,1610,6207,3578,3227
Gérard Bertrand AN 806 Corbières 2018,https://www.lcbo.com/en/g-crard-bertrand-an-806-corbi-rres-2018-394288,https://aem.lcbo.com/content/dam/lcbo/products/3/9/4/2/394288.jpg.thumb.319.319.png,"Smooth and rich, this wine has a generous nose, with floral and jammy fruit aromas. The palate is full of spice and ripe black fruits. A juicy wine, it offers a toasty edge and long finish. Best Buy. Score - 92. (Wine Enthusiast, March 1, 2023)","Smooth and rich, this wine has a generous nose, with floral and jammy fruit aromas. The palate is full of spice and ripe black fruits. A juicy wine, it offers a toasty edge and long finish. Best Buy. Score - 92. (Wine Enthusiast, March 1, 2023)",Languedoc,France,['Vintages'],1642640371000,true,17.95,N/A,17.95,750,13.5,4.0,1,wine ; fruits ; long finish ; toasty edge ; generous nose ; Buy ; spice ; palate,"['Events', 'Vintages', 'Collections', 'Events|Vintages Events', 'Vintages|Vintages Case Offer', 'Collections|High Scoring Wines', 'Vintages|New Release Collection', 'Collections|Shop Low-Sugar Wines', 'Events|Vintages Events|UGCB Event', 'Vintages|New Release Collection|Previous Releases ', 'Collections|Shop Low-Sugar Wines|Low-Sugar Red Wines', 'Products', 'Products|Wine', 'Products|Wine|Red Wine']",['Products|Wine|Red Wine'],Grenache/Syrah/Mourvèdre,false,false,true,true,true,0,0,2,5.0,4.661197703035274,814,2374,2818,N/A
Kilikanoon Killerman's Run Shiraz,https://www.lcbo.com/en/kilikanoon-killerman-s-run-shiraz-925453,https://aem.lcbo.com/content/dam/lcbo/products/9/2/5/4/925453.jpg.thumb.319.319.png,"This Shiraz is Kilikanoon's idea of an entry-level wine. Some introduction! A hedonistic pleasure, it's plush with apricot and black plum jam, floral lift and mixed berries fruit. A bold match for barbecued spareribs, spicy sausage pizza or grilled hanger steaks.","This Shiraz is Kilikanoon's idea of an entry-level wine. Some introduction! A hedonistic pleasure, it's plush with apricot and black plum jam, floral lift and mixed berries fruit. A bold match for barbecued spareribs, spicy sausage pizza or grilled hanger steaks.",South Australia,Australia,['Vintages'],1642641215000,true,19.95,N/A,19.95,750,14.5,4.0,1,hanger steaks ; sausage pizza ; barbecued spareribs ; berries fruit ; floral lift ; plum jam ; hedonistic pleasure ; bold,"['Vintages', 'Collections', 'Vintages|Wintry Reds', 'Collections|Portable Picks', 'Vintages|Top Red Essentials', 'Vintages|Summer Store Program', 'Vintages|Essentials under $25', 'Vintages|Get to Know Vintages', 'Vintages|Better-for-you Wines', 'Collections|Shop Low-Sugar Wines', 'Collections|Red Wine Best Sellers', 'Vintages|Red Wine Gifts Under $30', 'Vintages|Red Essentials for the BBQ', 'Collections|Shop Red Wines by Price', 'Vintages|Vintages Essentials Collection', 'Vintages|Favourite Essentials under $20', 'Vintages|Summer Store Program|Save and Earn', 'Vintages|Summer Store Program|Wines under $30', 'Collections|Shop Red Wines by Price|$15 to $20', 'Collections|Shop Low-Sugar Wines|Low-Sugar Red Wines', 'Products', 'Products|Wine', 'Products|Wine|Red Wine']",['Products|Wine|Red Wine'],Shiraz/Syrah,true,true,false,false,false,67,67,10,4.8,4.696718621821164,780,1417,1241,1071
Frisky Beaver Badass Baco VQA,https://www.lcbo.com/en/frisky-beaver-badass-baco-vqa-17440,https://aem.lcbo.com/content/dam/lcbo/products/0/1/7/4/017440.jpg.thumb.319.319.png,"A Double Gold award winner in 2020, this ruby-coloured wine shows aromas of dark blackberry, wild berry and cherry fruit.  Bold and fruity with a good balance of smoky oak, acidity and gentle spice. This wine is true to its name. Pairs well with hearty beef and vegetable stew.","A Double Gold award winner in 2020, this ruby-coloured wine shows aromas of dark blackberry, wild berry and cherry fruit.  Bold and fruity with a good balance of smoky oak, acidity and gentle spice. This wine is true to its name. Pairs well with hearty beef and vegetable stew.",Ontario,Canada,N/A,1666360814000,true,15.95,N/A,15.95,750,13.0,6.0,1,wine ; vegetable stew ; hearty beef ; gentle spice ; smoky oak ; cherry fruit ; wild berry ; dark blackberry ; shows aromas ; award winner,"['Deals', 'Collections', 'Deals|Aeroplan', 'Collections|VQA', 'Collections|Shop Local', 'Collections|Canadian Picks', 'Collections|Red Wines Under $20', 'Collections|Ontario VQA Baco Noir', 'Collections|VQA|Ontario VQA Wines', 'Collections|Shop Local|Local Wines', 'Collections|Shop Red Wines by Price', 'Collections|VQA Red Wine Food Pairings', 'Collections|Ontario VQA Wines Under $20', 'Collections|Customer Favourites - VQA Wines', 'Deals|Aeroplan|Ontario VQA Wines Bonus Offer', 'Collections|Shop Red Wines by Price|$15 to $20', 'Collections|VQA Red Wine Food Pairings|Pairings for Beef', 'Products', 'Products|Wine', 'Products|Wine|Red Wine', 'Collections|Shop Over 3000 Ontario- and Canadian-Made Products', 'Collections|Shop Over 3000 Ontario- and Canadian-Made Products|Canadian Wines', 'Collections|Shop Over 3000 Ontario- and Canadian-Made Products|Shop 800+ Ontario VQA Wines']",['Products|Wine|Red Wine'],Baco Noir,true,true,false,false,false,15,15,1,5.0,4.630397494220299,6350,3673,4140,3617
Knappstein Clare Valley Shiraz 2021,https://www.lcbo.com/en/knappstein-clare-valley-shiraz-24980,https://aem.lcbo.com/content/dam/lcbo/products/0/2/4/9/024980.jpg.thumb.319.319.png,"Surely a contender for value buy of the year. Indeed, the range of four reds released here is definitely odds on for best buying collection for 2023. Maroon purple, this is a brooding, deep red with aromas of plums, chocolate, cigar boxes, dry herbs and raspberries - the black fruits kick in much more on the palate. There is good density, but the wine retains its freshness. With very fine tannins and a lingering finish, this is utterly delicious and should remain so for at least the next six to eight years. The palate exhibiting more chocolate, axle grease and blackberries as it develops in the glass. Terrific stuff. Drink by: 2023-2031. Score - 93. (Ken Gargett, winepilot.com, July 2023)","Surely a contender for value buy of the year. Indeed, the range of four reds released here is definitely odds on for best buying collection for 2023. Maroon purple, this is a brooding, deep red with aromas of plums, chocolate, cigar boxes, dry herbs and raspberries - the black fruits kick in much more on the palate. There is good density, but the wine retains its freshness. With very fine tannins and a lingering finish, this is utterly delicious and should remain so for at least the next six to eight years. The palate exhibiting more chocolate, axle grease and blackberries as it develops in the glass. Terrific stuff. Drink by: 2023-2031. Score - 93. (Ken Gargett, winepilot.com, July 2023)",South Australia,Australia,['Vintages'],1663336813000,true,19.95,N/A,19.95,750,14.5,3.0,1,palate ; chocolate ; axle grease ; lingering finish ; black fruits ; dry herbs ; cigar boxes ; deep red ; Maroon purple ; buying collection ; reds released ; aromas of plums ; blackberries ; raspberries,"['Vintages', 'Collections', 'Vintages|Last Call!', 'Collections|Last Chance', 'Vintages|Vintages Case Offer', 'Vintages|New Release Collection', 'Vintages|Last Call!|Wines for Every Palate', 'Vintages|Last Call!|Wines for Every Budget', 'Vintages|New Release Collection|March 15 2025', 'Collections|Last Chance|Last Chance - Red Wine', 'Vintages|Last Call!|Wines for Every Palate|Red', 'Vintages|New Release Collection|Previous Releases ', 'Vintages|Last Call!|Wines for Every Budget|Under $25', 'Products', 'Products|Wine', 'Products|Wine|Red Wine']",['Products|Wine|Red Wine'],Shiraz Blend,true,true,false,false,false,73,73,3,4.7,4.618028648955638,4474,3622,3688,2611
JJ McWilliam Shiraz Cabernet,https://www.lcbo.com/en/jj-mcwilliam-shiraz-cabernet-16741,https://aem.lcbo.com/content/dam/lcbo/products/0/1/6/7/016741.jpg.thumb.319.319.png,"The McWilliam family has 140 years of winemaking experience in Australia's New South Wales. Expect generous aromas and flavours of coffee, ripe fig, licorice, finishing with toast notes and a smooth, balanced texture. Perfect with barbecued meats, aged cheeses and savoury appetizers.","The McWilliam family has 140 years of winemaking experience in Australia's New South Wales. Expect generous aromas and flavours of coffee, ripe fig, licorice, finishing with toast notes and a smooth, balanced texture. Perfect with barbecued meats, aged cheeses and savoury appetizers.",N/A,Australia,N/A,1642639898000,true,10.6,9.85,9.85,750,13.0,11.0,1,savoury appetizers ; aged cheeses ; barbecued meats ; balanced texture ; toast notes ; generous aromas ; New South Wales ; McWilliam family ; flavours of coffee,"['Deals', 'Collections', 'Deals|Aeroplan', 'Collections|Shop Red Wines by Price', 'Deals|Aeroplan|Wines Bonus Points Offer', 'Collections|Shop Red Wines by Price|Under $15', 'Products', 'Products|Wine', 'Products|Wine|Red Wine']",['Products|Wine|Red Wine'],Shiraz/Cabernet Sauvignon,false,false,true,true,true,0,0,3,4.7,4.618028648955638,578,4298,3299,3574
The Stump Jump Grenache Shiraz Mourvèdre,https://www.lcbo.com/en/d-arenberg-the-stump-jump-grenache-shiraz-mourv-rdre-2017-173294,https://aem.lcbo.com/content/dam/lcbo/products/1/7/3/2/173294.jpg.thumb.319.319.png,"Legend suggests that Richard Bowyer Smith, who was a South Australian blacksmith and the inventor of the stump-jump plough (which allows ploughs to jump tree roots in difficult terrain), had poor eyesight, hence the optometrist chart on the label. This wine has a supple mouthfeel, with raspberry, plum, dark cherry, earth and savoury herbs. It will see its way clearly to drinking through 2025+.","Legend suggests that Richard Bowyer Smith, who was a South Australian blacksmith and the inventor of the stump-jump plough (which allows ploughs to jump tree roots in difficult terrain), had poor eyesight, hence the optometrist chart on the label. This wine has a supple mouthfeel, with raspberry, plum, dark cherry, earth and savoury herbs. It will see its way clearly to drinking through 2025+.",South Australia,Australia,N/A,1642639921000,true,14.35,N/A,14.35,750,14.5,3.0,1,savoury herbs ; dark cherry ; supple mouthfeel ; optometrist chart ; poor eyesight ; stump-jump plough ; Australian blacksmith ; Bowyer Smith,"['Collections', 'Collections|Shop Low-Sugar Wines', 'Collections|Shop Red Wines by Price', 'Collections|Shop Red Wines by Price|Under $15', 'Collections|Shop Low-Sugar Wines|Low-Sugar Red Wines', 'Products', 'Products|Wine', 'Products|Wine|Red Wine']",['Products|Wine|Red Wine'],Red Blend,true,true,true,true,false,11,11,3,4.0,4.4564901874171765,935,5137,1766,3162
Frisky Zebras Seductive Shiraz,https://www.lcbo.com/en/frisky-zebras-seductive-shiraz-237644,https://aem.lcbo.com/content/dam/lcbo/products/2/3/7/6/237644.jpg.thumb.319.319.png,"Frisky Zebra wines are accessible, French-styled wines produced in South Africa's Stellenbosch region. The Seductive Shiraz is a crowd-pleasing red with enticing floral, spice and plum aromas. The palate is medium-bodied with ripe tannins, boasting flavours of dark chocolate, spice and dark berry fruit.","Frisky Zebra wines are accessible, French-styled wines produced in South Africa's Stellenbosch region. The Seductive Shiraz is a crowd-pleasing red with enticing floral, spice and plum aromas. The palate is medium-bodied with ripe tannins, boasting flavours of dark chocolate, spice and dark berry fruit.",N/A,South Africa,N/A,1642640153000,true,14.85,N/A,14.85,750,13.5,5.0,1,spice ; dark ; berry fruit ; boasting flavours ; ripe tannins ; plum aromas ; enticing floral ; crowd-pleasing red ; Seductive Shiraz,"['Deals', 'Collections', 'Deals|Aeroplan', 'Collections|Shop Low-Sugar Wines', 'Collections|Shop Red Wines by Price', 'Deals|Aeroplan|Aeroplan Bonus Offers', 'Collections|Shop Red Wines by Price|Under $15', 'Deals|Aeroplan|Aeroplan Bonus Offers|Red Wines', 'Deals|Aeroplan|Wines of South Africa Bonus Offer', 'Collections|Shop Low-Sugar Wines|Low-Sugar Red Wines', 'Products', 'Products|Wine', 'Products|Wine|Red Wine']",['Products|Wine|Red Wine'],Shiraz/Syrah,true,true,false,false,false,17,17,3,4.0,4.4564901874171765,6730,4643,1623,948
Flat Rock Pinot Noir,https://www.lcbo.com/en/flat-rock-pinot-noir-1545,https://aem.lcbo.com/content/dam/lcbo/products/0/0/1/5/001545.jpg.thumb.319.319.png,"Innovative Flat Rock Cellars specializes in crafting elegant Pinot Noir. This excellent wine is a great introduction, with its flavours of berry preserves, herbs, blood orange and watermelon. It works well with grilled salmon or with veal in a red wine reduction.","Innovative Flat Rock Cellars specializes in crafting elegant Pinot Noir. This excellent wine is a great introduction, with its flavours of berry preserves, herbs, blood orange and watermelon. It works well with grilled salmon or with veal in a red wine reduction.",Ontario,Canada,['Vintages'],1642639847000,true,24.95,N/A,24.95,750,13.0,3.0,1,wine ; grilled salmon ; blood orange ; berry preserves ; watermelon ; herbs,"['Deals', 'Vintages', 'Collections', 'Deals|Aeroplan', 'Collections|VQA', 'Collections|Ontario', 'Vintages|Ontario Reds', 'Vintages|VQA must-haves', 'Collections|Cozy Sippers', 'Collections|Thanksgiving ', 'Collections|Canadian Picks', 'Collections|Ontario|Niagara', 'Collections|Low Sugar Wines', 'Vintages|Top Red Essentials', 'Vintages|Vintages on Vacation', 'Vintages|Summer Store Program', 'Vintages|Better-for-you Wines', 'Vintages|Local Wines from $15', 'Collections|Ontario|Pinot Noir', 'Collections|Vintage Essentials', 'Collections|Shop Low-Sugar Wines', 'Collections|Ontario|Great Choices', 'Vintages|Red Essentials under $30', 'Vintages|Red Wine Gifts Under $30', 'Collections|VQA|Ontario VQA Wines', 'Collections|A World Winning Lineup', 'Collections|Ontario VQA Pinot Noir', 'Collections|Shop Red Wines by Price', 'Collections|Low-sugar wines for less', 'Vintages|Local Essentials for Spring', 'Collections|VQA Red Wine Food Pairings', 'Vintages|Wines for Easter and Passover', 'Vintages|Vintages Essentials Collection', 'Vintages|Vintages on Vacation|Low Sugar', 'Collections|A World Winning Lineup|Wines', 'Deals|Aeroplan|Ontario VQA Wines Bonus Offer', 'Vintages|Summer Store Program|Wines under $30', 'Collections|Shop Red Wines by Price|$20 to $30', 'Collections|Shop Low-Sugar Wines|Low-Sugar Red Wines', 'Collections|Premium Ontario VQA Wines for Thanksgiving ', 'Collections|VQA Red Wine Food Pairings|Pairings for Beef', 'Collections|Sustainable Winemaking Ontario Certified Wines', 'Products', 'Products|Wine', 'Products|Wine|Red Wine', 'Collections|Shop Over 3000 Ontario- and Canadian-Made Products', 'Collections|Shop Over 3000 Ontario- and Canadian-Made Products|Canadian Wines', 'Collections|Shop Over 3000 Ontario- and Canadian-Made Products|Shop 800+ Ontario VQA Wines']",['Products|Wine|Red Wine'],Pinot Noir,true,true,false,false,false,44,44,7,4.4,4.513786613907253,885,1096,1374,1110
